group,family,virus,G,K,K reference,mu,mu reference,
ss_pos_RNA,,bacteriophage_QBc,4.22,,,1.40E-04,29 (2016),
ss_pos_RNA,,tobacco_mosaic_virus,6.4,2.38E-04,39 (2012),8.70E-06,128 (2016),
ss_pos_RNA,,human_rhinovirus,7.13,2.60E-03,Kuroda et al. 2015,6.90E-05,"129, 130 (2016)",
ss_pos_RNA,picorna,poliovirus1,7.44,1.17E-02,25 (2012),9.00E-05,"131,132,133,134 (2016)",
ss_pos_RNA,picorna,poliovirus2,7.44,1.01E-02,34 (2012),,,
ss_pos_RNA,,human_norovirus_G1,7.65,6.34E-03,"Bok et al. 2009, Chan et al. 2015, Lu et al. 2017",1.50E-04,74 (2016),
ss_pos_RNA,,tobacco_etch_virus,9.49,,,1.20E-05,"135,136 (2016)",
ss_pos_RNA,flavi,hepatitis_C_virus,9.65,1.32E-03,"16,17 (2012)",3.80E-05,"137,138,105 (2016)",
ss_pos_RNA,,murine_hepatitis_virus,31.4,,,3.50E-06,139 (2016),
ss_pos_RNA,arteri,PRRSV,15.4,1.80E-03,1 (2012),,,
ss_pos_RNA,calici,norwalk_virus,7.6,5.29E-03,"2, 3 (2012)",,,
ss_pos_RNA,calici,RHDV,7.4,7.70E-04,4 (2012),,,
ss_pos_RNA,corona,avian_coronavirus,27.6,3.37E-04,5 (2012),,,
ss_pos_RNA,corona,bovine_coronavirus,31,5.37E-04,6 (2012),,,
ss_pos_RNA,corona,human_coronavirus_229E,27.3,3.28E-04,7 (2012),,,
ss_pos_RNA,corona,SARS_coronavirus,29.7,2.80E-03,"8, 9 (2012)",,,
ss_pos_RNA,dicistro,taura_syndrome_virus,10.2,2.37E-03,10 (2012),,,
ss_pos_RNA,flavi,dengue_virus,10.7,7.87E-04,"11,12,13,14 (2012)",,,
ss_pos_RNA,flavi,GB-C_virus,9.4,1.16E-02,15 (2012),,,
ss_pos_RNA,flavi,japanese_encephalitis_virus,10.98,4.27E-04,18 (2012),,,
ss_pos_RNA,flavi,KFDV,10.69,6.40E-04,19 (2012),,,
ss_pos_RNA,flavi,St_Louis_encephalitis_virus,10.94,2.98E-04,"20, 21 (2012)",,,
ss_pos_RNA,flavi,west_nile_virus,11,8.50E-04,22 (2012),,,
ss_pos_RNA,luteo,BYDV,5.7,1.18E-03,"23, 24 (2012)",,,
ss_pos_RNA,luteo,beet_chlorosis_virus,5.78,3.15E-03,23 (2012),,,
ss_pos_RNA,luteo,beet_mild_yellowing_virus,5.72,2.41E-04,23 (2012),,,
ss_pos_RNA,luteo,CYDV,5.72,3.83E-03,23 (2012),,,
ss_pos_RNA,luteo,CABYV,5.67,1.23E-02,23 (2012),,,
ss_pos_RNA,luteo,potato_leafroll_virus,5.99,2.45E-04,23 (2012),,,
ss_pos_RNA,luteo,soybean_dwarf_virus,5.85,1.53E-03,23 (2012),,,
ss_pos_RNA,luteo,sugarcane_yellow_leaf_virus,5.9,2.88E-04,23 (2012),,,
ss_pos_RNA,luteo,turnip_yellows_virus,5.64,1.32E-03,23 (2012),,,
ss_pos_RNA,picorna,encephalomyocarditis_virus,7.8,1.61E-03,25 (2012),,,
ss_pos_RNA,picorna,FMDV,8.17,1.46E-03,"25, 26 (2012)",,,
ss_pos_RNA,picorna,hepatitis_A_virus,7.48,5.32E-04,"25,27,28 (2012)",,,
ss_pos_RNA,picorna,human_enterovirus_A,7.4,4.86E-03,"25,29,30 (2012)",,,
ss_pos_RNA,picorna,human_enterovirus_B,7.39,5.78E-03,"25,31,32 (2012)",,,
ss_pos_RNA,picorna,human_parechovirus,7.35,2.63E-03,"25,33 (2012)",,,
ss_pos_RNA,picorna,porcine_teschovirus,7.12,1.62E-03,25 (2012),,,
ss_pos_RNA,poty,ZYMV,9.59,5.00E-04,35 (2012),,,
ss_pos_RNA,toga,fort_morgan_virus,11.38,2.19E-04,36 (2012),,,
ss_pos_RNA,toga,ross_river_virus,11.66,7.53E-04,37 (2012),,,
ss_pos_RNA,toga,venezuelan_EEV,11.44,1.28E-04,38 (2012),,,
ss_pos_RNA,toga,chikungunya_virus,11.81,3.73E-04,Volk et al. 2010,,,
ss_pos_RNA,virga,cucumber_green_mottle_mosaic_virus,6.42,3.07E-04,39 (2012),,,
ss_pos_RNA,virga,odontoglossum_ringspot_virus,6.62,9.21E-04,39 (2012),,,
ss_pos_RNA,virga,pepper_mild_mottle_virus,6.36,3.47E-04,39 (2012),,,
ss_pos_RNA,virga,ribgrass_mosaic_virus,6.3,1.40E-04,39 (2012),,,
ss_pos_RNA,virga,tobacco_mild_green_mosaic_virus,6.36,1.49E-04,39 (2012),,,
ss_pos_RNA,virga,tomato_mosaic_virus,6.38,2.10E-04,39 (2012),,,
ss_pos_RNA,none,rice_yellow_mottle_virus,4.45,7.50E-04,40 (2012),,,
ss_neg_RNA,bunya,CCHFV,19.15,9.87E-05,41 (2012),,,
ss_neg_RNA,bunya,hantaviruses_virus,12.3,6.76E-04,42 (2012),,,
ss_neg_RNA,bunya,rift_valley_fever_virus,11.98,2.51E-04,43 (2012),,,
ss_neg_RNA,bunya,sin_nombre_virus,12.32,3.61E-03,44 (2012),,,
ss_neg_RNA,,vesicular_stomatitis_virus,11.2,,,3.70E-05,"140,141,142,143 (2016)",
ss_neg_RNA,orthomyxo,influenza_A_virus,13.6,2.92E-03,"45,46,47,48 (2012)",2.50E-05,"144,145,146,147 (2016)",
ss_neg_RNA,paramyxo,avian_metapneumovirus,14.07,4.04E-03,49 (2012),,,
ss_neg_RNA,paramyxo,canine_distemper_virus,15.69,1.17E-03,50 (2012),,,
ss_neg_RNA,paramyxo,human_parapneumovirus,13.34,7.12E-04,51 (2012),,,
ss_neg_RNA,paramyxo,measles_virus,15.89,6.86E-04,"50,52 (2012)",1.87E-06,Gardy et al. 2015,OR 0.00000232
ss_neg_RNA,paramyxo,mumps_virus,15.38,9.17E-04,50 (2012),,,
ss_neg_RNA,paramyxo,respiratory_syncytial_virus,15.19,2.31E-03,53 (2012),,,
ss_neg_RNA,rhabdo,european_bat_lyssavirus,12,5.58E-05,54 (2012),,,
ss_neg_RNA,rhabdo,rabies_virus,11.93,3.97E-04,"55,56,57,58,59,60 (2012)",,,
